--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
471.974  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.039  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.081  000.027  000.027: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.109  000.013  000.013: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.565  000.014  000.014: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.602  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.623  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.643  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.660  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.740  000.008  000.008: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.761  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.794  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.811  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.830  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.848  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.866  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.885  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
472.902  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.011  000.009  000.009: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.030  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.048  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.066  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.084  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.101  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.119  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.146  000.007  000.007: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.164  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.181  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.203  000.011  000.011: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.222  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.240  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
473.257  000.006  000.006: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
474.234  000.034  000.034: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
474.329  000.020  000.020: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
474.394  000.050  000.050: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
474.425  000.019  000.019: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
474.447  000.012  000.012: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
474.640  000.166  000.166: require('nnonne.plugins.bufferline')
475.876  000.093  000.093: require('bufferline.lazy')
476.182  000.286  000.286: require('bufferline.commands')
476.514  000.316  000.316: require('bufferline.config')
476.527  001.243  000.548: require('bufferline')
477.107  000.198  000.198: require('bufferline.utils')
477.118  000.567  000.369: require('bufferline.groups')
477.280  000.112  000.112: require('bufferline.constants')
477.382  000.092  000.092: require('bufferline.colors')
477.774  000.166  000.166: require('bufferline.highlights')
483.876  004.366  004.366: require('bufferline.hover')
484.309  000.278  000.278: require('bufferline.ui')
484.819  000.486  000.486: require('vim.diagnostic')
485.114  000.161  000.161: require('nnonne.plugins.fff')
486.474  000.193  000.193: require('fff.main')
486.488  000.659  000.467: require('fff')
486.685  000.088  000.088: require('nnonne.plugins.comments')
487.644  000.372  000.372: require('ts-comments')
487.769  000.116  000.116: require('ts-comments.config')
487.889  000.103  000.103: require('nnonne.plugins.auto-tag')
488.030  000.085  000.085: require('nnonne.plugins.search-replace')
488.147  000.070  000.070: require('nnonne.plugins.bullets')
489.045  000.330  000.330: require('nnonne.plugins.undotree')
494.151  000.195  000.195: sourcing /usr/share/nvim/runtime/pack/dist/opt/nvim.undotree/plugin/undotree.lua
494.323  005.248  005.052: sourcing nvim_exec2() called at /home/nnonne/dots/.config/nonevim/init.lua:0
494.731  000.348  000.348: require('nnonne.plugins.flutter-tools')
496.940  000.407  000.407: require('nnonne.plugins.render-markdown')
498.179  000.159  000.159: require('nnonne.plugins.image')
500.392  000.174  000.174: require('image/utils/logger')
500.513  000.108  000.108: require('image/processors')
500.618  000.099  000.099: require('image/utils/render_scheduler')
501.104  000.093  000.093: require('image/utils/magic')
501.119  000.255  000.162: require('image/utils/dimensions')
501.201  000.078  000.078: require('image/utils/hash')
501.290  000.083  000.083: require('image/utils/json')
501.370  000.075  000.075: require('image/utils/math')
501.459  000.084  000.084: require('image/utils/offsets')
501.550  000.086  000.086: require('image/utils/random')
501.796  000.072  000.072: require('ffi')
501.872  000.317  000.245: require('image/utils/term')
502.085  000.208  000.208: require('image/utils/tmux')
502.185  000.093  000.093: require('image/utils/virtual_padding')
502.297  000.106  000.106: require('image/utils/window')
502.306  001.544  000.159: require('image/utils')
502.312  001.689  000.144: require('image/report')
502.681  002.995  000.925: require('image')
